Detectada,Estado,Rubro,Organismo,Tipo,N°,Objeto,Apertura,Detalle apertura,Venta hasta,Valor pliego,Link,Pliego PDF,Fuente,ID
08/09/2026,Vigente,Vehículos,MUNICIPIO DE ORO VERDE,Licitación Pública,,"El procedimiento licitatorio regido por el presente pliego tiene por objeto la Licitación Pública N° 03/2026 para la venta de los siguientes bienes municipales: a) MINI RETRO DE TIRO: Marca RICHIGER, Serie A, N° 101. Modelo N° 186. Motor N° 991023899, C. V 7, 50, Modelo 7, 50 DB, RPM 1.500 b) COLECTIVO: Mercedes Benz, dominio UKZ353, modelo 1977 según lo que s e detalla en el Pliego de Bases y Condiciones que forma parte de la presente como Anexo I",14/09/2026,"La apertura de sobres se realizará el día 14 de septiembre del 2026 a las 10:00 horas, en la sede municipal",Ver pliego,El pliego será gratuito. El mismo se encontrará para su consulta y ent,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/02-09-26.pdf,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/02-09-26.pdf,Boletín Oficial de Entre Ríos,id-ddc4dfb118d357f7
08/09/2026,Vigente,Vehículos,CONCORDIA — MUNICIPALIDAD DE PUERTO YERUA,Licitación Pública,1/2026,Adquisición de una motoniveladora 0 Km,10/09/2026,10/09/2026,Ver pliego,,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/02-09-26.pdf,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/02-09-26.pdf,Boletín Oficial de Entre Ríos,id-61b6e4f9568150b0
08/09/2026,Revisar fecha,Vehículos,GUALEGUAY — COMUNA DE SEXTO DISTRITO,Licitación Pública,01/2026,“ADQUISICIÓN MAQUINARIA VIAL PARA COMUNA SEXTO DISTRITO – MOTONIVELADORA ARTICULADA”,,Ver boletín,Ver pliego,s in cargo Consultas: comprascomuna6to@hotmail.com Celular: 3444- 4493,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/02-09-26.pdf,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/02-09-26.pdf,Boletín Oficial de Entre Ríos,id-511256e6329e386a
08/09/2026,Vigente,Arquitectura,COMISIÓN ADMINISTRADORA PARA EL FONDO ESPECIAL DE SALTO GRANDE — TERMINACION ESCUELA Nº 54,Licitación Pública,10/2026,"REMODELACI ON Y TERMINACION ESCUELA Nº 54 “CARLOS SOURIGUES” - BARRIO PERUCHO VERNA – SAN JOSE – DPTO. COLON – PROVINCIA DE ENTRE RIOS de acuerdo a las condiciones que se detallan en los pliegos, aprobados por el Directorio de C.A.F.E.S.G. Apertura de Ofertas: Jueves 24 DE SEPTIEMBRE DEL AÑO 2026.- Hora: 12:00 Lugar: OFICINAS CENTRALES DE LA CAFESG – CALLE SAN JUAN Nº 2097 – CIUDAD DE CONCORDIA – ENTRE RIOS.- Venta de Pliegos - Habilitación a la Licitación: Desde el 03 de septiembre del año 2026 y hasta el día 17 de septiembre del año 2026, inclusive. Una vez realizado el depósito/transferenci",24/09/2026,Jueves 24 DE SEPTIEMBRE DEL AÑO 2026.- Hora: 12:00 Lugar: OFICINAS CENTRALES DE LA CAFESG – CALLE SAN JUAN N,17/09/2026,"Habilitación: Pesos Ochenta Mil con 0/100 - $ 80.000, 00 - Habilitació",https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Agosto/31-08-26.pdf,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Agosto/31-08-26.pdf,Boletín Oficial de Entre Ríos,id-d97b43a99f1e1824
08/09/2026,Vigente,Arquitectura,COMISIÓN ADMINISTRADORA PARA EL FONDO ESPECIAL DE SALTO GRANDE — Y PUESTA EN VALOR – ESCUE,Licitación Pública,09/2026,"“REFACCION, RESTAURACION Y PUESTA EN VALOR – ESCUELA N° 15 NORMAL “DOMINGO FAUSTINO SARMIENTO” – CIUDAD DE CONCORDIA – DEPARTAMENTO CONCORDIA – PROVINCIA DE ENTRE RIOS” de acuerdo a las condiciones que se detallan en los pliegos, aprobados por el Directorio de C.A.F.E.S.G. Apertura de Ofertas: Jueves 24 DE SEPTIEMBRE DEL AÑO 2026.- Hora: 10:00 Lugar: OFICINAS CENTRALES DE LA C AFESG – CALLE SAN JUAN Nº 2097 – CIUDAD DE CONCORDIA – ENTRE RIOS.- Venta de Pliegos - Habilitación a la Licitación: Desde el 03 de septiembre del año 2026 y hasta el día 17 de septiembre del año 2026, inclusive. Una vez",24/09/2026,Jueves 24 DE SEPTIEMBRE DEL AÑO 2026.- Hora: 10:00 Lugar: OFICINAS CENTRALES DE LA C AFESG – CALLE SAN JUAN,17/09/2026,"Habilitación: Pesos Ciento Veinte Mil con 0/100 - $ 120.000, 00 - Habi",https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Agosto/31-08-26.pdf,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Agosto/31-08-26.pdf,Boletín Oficial de Entre Ríos,id-f8fab7a7b3a06a2d
08/09/2026,Vigente,Vehículos,NOGOYA — COMUNA DISTRITO SAUCE -- NOGOYA,Licitación Pública,1/26,"Convocar para la adquisi ción de un Tractor agrícola 0 km, con las siguientes características técnicas: potencia de motor de 130 a 150 HP; doble Tracción, 6 (seis) cilindros; y demás especificación que se encuentran en el pliego de Especificaciones Técnicas",11/09/2026,Viernes 11 de Septiembre de 2026- a las 10:00 horas en la Sede Comunal de Comuna Distrito Sauce,Ver pliego,sin costo. Solicitar en la Sede Comunal de Distrito Sauce Nogoya o al ,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Agosto/31-08-26.pdf,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Agosto/31-08-26.pdf,Boletín Oficial de Entre Ríos,id-328f5a2f67c14702
08/09/2026,Vigente,Vehículos,Municipalidad de Paraná,LICITACIÓN PÚBLICA,77/2026,ADQUISICION DE CAMIONETAS,11/09/2026,11-09-2026 08:00,Ver pliego,,https://compras.parana.gob.ar/,https://compras.parana.gob.ar/uploads/pliegos/3-77-2026-1.pdf,Municipalidad de Paraná,id-dff70529581309e6
08/09/2026,Vigente,Vehículos,Municipalidad de Paraná,LICITACIÓN PÚBLICA,76/2026,ADQUICION DE CAMIONES COMPACTADORES DE CARGA TRASERA RSU,14/09/2026,14-09-2026 08:00,Ver pliego,,https://compras.parana.gob.ar/,https://compras.parana.gob.ar/uploads/pliegos/3-76-2026-1.pdf,Municipalidad de Paraná,id-ccdfae2a7ede4696
08/09/2026,Vigente,Arquitectura,Arquitectura y Construcciones (DGAyC),Licitación Pública,08/2026,"Nueva instalación eléctrica, cubierta de techo y refacción de baños Escuela N° 1 ""José María Texier"", San Salvador",15/09/2026,"martes, 15 de septiembre de 2026 - 10:00hs",Ver pliego,,https://www.entrerios.gov.ar/minplan/licitaciones/lpn_dgayc_2026-08,,Min. Planeamiento (provincia),id-952aef4c115d8f12
08/09/2026,Vigente,Arquitectura,Arquitectura y Construcciones (DGAyC),Licitación Pública,09/2026,"Ampliación - Reconstrucción de pisos y contrapisos - Impermeabilización losas - Instalación eléctrica - Escuela Secundaria Adultos N° 1 ""Dr. Luis Agote"", Nogoyá",18/09/2026,"viernes, 18 de septiembre de 2026 - 10:00hs",Ver pliego,,https://www.entrerios.gov.ar/minplan/licitaciones/lpn_dgayc_2026-09,,Min. Planeamiento (provincia),id-885d4847519dfd48
08/09/2026,Vigente,Arquitectura,Arquitectura y Construcciones (DGAyC),Licitación Pública,10/2026,"Impermeabilización cubierta de techos, reparación de mamposterías y pintura Escuela N° 2 ""Alvarez Condarco"", Chajarí",30/09/2026,"miércoles, 30 de septiembre de 2026 - 10:00hs",Ver pliego,,https://www.entrerios.gov.ar/minplan/licitaciones/lpn_dgayc_2026-10,,Min. Planeamiento (provincia),id-46c6d9f1f9210d1e
08/09/2026,Revisar fecha,Infraestructura,IAPV (Vivienda),Licitación Pública,03/26,TERMINACIÓN VILLA PARANECITO 50 VIVIENDAS - DEPARTAMENTO ISLAS DEL IBICUY,,Publicada 21/08/2026 — ver pliego,Ver pliego,,https://www.iapv.gob.ar/seccion/articulos/2222/licitacion-publica-n-0326-terminacion-villa-parana,,IAPV — Viviendas,id-2b877612500f72b1
08/09/2026,Revisar fecha,Infraestructura,IAPV (Vivienda),Licitación Pública,02/2026,HERRERA 18 VIVIENDAS - DEPARTAMENTO URUGUAY,,Publicada 09/06/2026 — ver pliego,Ver pliego,,https://www.iapv.gob.ar/seccion/articulos/2211/licitacion-publica-n-022026-herrera-18-viviendas,,IAPV — Viviendas,id-b8ac4ddaa39b00be
08/09/2026,Revisar fecha,Infraestructura,IAPV (Vivienda),Licitación Pública,01/2026,LARROQUE 18 VIVIENDAS - DEPARTAMENTO GUALEGUAYCHU,,Publicada 05/06/2026 — ver pliego,Ver pliego,,https://www.iapv.gob.ar/seccion/articulos/2210/licitacion-publica-n-012026-larroque-18-viviendas,,IAPV — Viviendas,id-d0b9714db86e5226
08/09/2026,Revisar fecha,Infraestructura,IAPV (Vivienda),Licitación Pública,05/2025,NOGOYA 19 VIVIENDAS,,Publicada 11/12/2025 — ver pliego,Ver pliego,,https://www.iapv.gob.ar/seccion/articulos/2204/licitacion-publica-n-052025-nogoya-19-viviendas,,IAPV — Viviendas,id-22811eab8859abaf
08/09/2026,Revisar fecha,Infraestructura,IAPV (Vivienda),Licitación Pública,06/2025,SAN JAIME DE LA FRONTERA 15 VIVIENDAS,,Publicada 18/11/2025 — ver pliego,Ver pliego,,https://www.iapv.gob.ar/seccion/articulos/2203/licitacion-publica-n-062025-san-jaime-de-la-fronte,,IAPV — Viviendas,id-c019bf4a08989c09
08/09/2026,Revisar fecha,Infraestructura,IAPV (Vivienda),Licitación Pública,,PARANÁ 2 VIVIENDAS - PROTOTIPO DUPLEX 2 DORMITORIOS,,Publicada 11/11/2025 — ver pliego,Ver pliego,,https://www.iapv.gob.ar/seccion/articulos/2205/licitacion-publica-072025-parana-2-viviendas-proto,,IAPV — Viviendas,id-ebeeb6a87e688d85
08/09/2026,Revisar fecha,Infraestructura,IAPV (Vivienda),Licitación Pública,04/2025,CHAJARI 10 VIVIENDAS - MAIPER (P,,Publicada 23/10/2025 — ver pliego,Ver pliego,,https://www.iapv.gob.ar/seccion/articulos/2202/licitacion-publica-n-042025-chajari-10-viviendas,,IAPV — Viviendas,id-34c85bcdb9b1123f
08/09/2026,Revisar fecha,Infraestructura,IAPV (Vivienda),Licitación Pública,03/2025,TERMINACIÓN PARANÁ 30 VIVIENDAS - VICOER,,Publicada 08/10/2025 — ver pliego,Ver pliego,,https://www.iapv.gob.ar/seccion/articulos/2201/licitacion-publica-n-032025-terminacion-parana-30-,,IAPV — Viviendas,id-75bfffae63b7eedc
08/09/2026,Revisar fecha,Infraestructura,IAPV (Vivienda),Licitación Pública,02/2025,CONCORDIA 18 VIVIENDAS EN DUPLEX,,Publicada 06/10/2025 — ver pliego,Ver pliego,,https://www.iapv.gob.ar/seccion/articulos/2200/licitacion-publica-n-022025-concordia-18-viviendas,,IAPV — Viviendas,id-07ddb93a12c5a870
08/09/2026,Revisar fecha,Infraestructura,IAPV (Vivienda),Licitación Pública,02/2025,Concurso de Precio N° 02/2025,,Publicada 19/06/2025 — ver pliego,Ver pliego,,https://www.iapv.gob.ar/seccion/articulos/2199/concurso-de-precio-n-022025,,IAPV — Viviendas,id-7c1bf02160a66f67
08/09/2026,Revisar fecha,Infraestructura,Vialidad Entre Ríos (DPV),Concurso,01/26,"PROYECTO EJECUTIVO DE LA OBRA: RUTA PROVINCIAL A08 – TRAMO: R.N. Nº12 – VILLA PARANACITO – CONSTRUCCIÓN DE CALZADA, RECONSTRUCCIÓN DE LA CALZADA EXISTENTE, VERIFICACIÓN, REPARACIÓN Y DISEÑO DE OBRAS DE ARTE -DEPARTAMENTO: ISLAS DEL IBICUY – PROVINCIA: ENTRE RÍOS – LONGITUD APROXIMADA DEL TRAMO: 20,685 km.- CONSULTA DE PLIEGOS: www.dpver.gov.ar – […]",,Ver pliego,Ver pliego,,https://www.dpver.gov.ar/2026/08/28/concurso-de-anteproyecto-no-01-26/,,Vialidad Entre Ríos (DPV),id-9a16884dd5a64a49
08/09/2026,Revisar fecha,Áridos,Túnel Subfluvial,Licitación Pública,499/26,LICITACIÓN PÚBLICA Nº 499/26: EXTRACCIÓN DE DEPÓSITOS DE SUELO EN SECTOR INFERIOR DEL TÚNEL SUBFLUVIAL,,Ver pliego,Ver pliego,,https://tunelsubfluvial.gov.ar/2026/08/licitacion-publica-no-499-26-extraccion-de-depositos-de-suelo-en-sector-inferior-del-tunel-subfluvial/,,Túnel Subfluvial,id-f53eab44dba8d43f
08/09/2026,Revisar fecha,Arquitectura,Túnel Subfluvial,Licitación Privada,235/26,Licitación Privada N° 235/26: reparación de cenefas en losas pórticos,,Ver pliego,Ver pliego,,https://tunelsubfluvial.gov.ar/2026/08/licitacion-privada-n-235-26-reparacion-de-cenefas-en-losas-porticos/,,Túnel Subfluvial,id-22f9c51cdaebefb7
08/09/2026,Revisar fecha,Arquitectura,Túnel Subfluvial,Licitación Pública,498/26,LICITACIÓN PÚBLICA N° 498/26: reparación de un tramo del cerramiento perimetral del Túnel Subfluvial,,Ver pliego,Ver pliego,,https://tunelsubfluvial.gov.ar/2026/06/licitacion-publica-n-498-26-reparacion-de-un-tramo-del-cerramiento-perimetral-del-tunel-subfluvial/,,Túnel Subfluvial,id-46d81e3efd2ae483
